Region,Product,UnitOfMeasure,UnitPrice,Category,Notes,SKU_ID,Price
us-west3,NetApp Volumes Capacity Extreme Salt Lake City,gibibyte month,0.4516,Storage,,skus/A896-A2C2-84BA,0.4516
us-central1,A2 Instance Core running in Americas,hour,0.031611,CPU,,skus/2922-40C5-B19F,0.031611
us-central1,A2 Instance Ram running in Americas,gibibyte hour,0.004237,CPU,,skus/2390-DCAF-DA38,0.004237
asia-southeast1,A2 Instance Core running in Singapore,hour,0.038999,CPU,,skus/10F0-EE60-26C7,0.038999
asia-southeast1,A2 Instance Ram running in Singapore,gibibyte hour,0.005226,CPU,,skus/03D0-B47F-1938,0.005226
asia-southeast1,A3 Instance Core running in Singapore,hour,0.031457,CPU,0.03145689 USD per 1 hour,skus/900F-F14A-DEF3,0.03145689
asia-southeast1,A3 Instance Ram running in Singapore,gibibyte hour,0.002739,CPU,0.002739233 USD per 1 gibibyte hour,skus/0B1B-A00D-9C69,0.002739233
us-central1,Spot Preemptible A2 Instance Core running in Americas,hour,0.01264,CPU,,skus/3178-715E-CFB6,0.01264
us-central1,Spot Preemptible A2 Instance Ram running in Americas,gibibyte hour,0.001695,CPU,,skus/65A3-16DB-D57A,0.001695
asia-southeast1,Spot Preemptible A2 Instance Core running in Singapore,hour,0.01525,CPU,,skus/960A-A3F4-7AD1,0.01372
asia-southeast1,Spot Preemptible A2 Instance Ram running in Singapore,gibibyte hour,0.002044,CPU,0.002044 USD per 1 gibibyte hour,skus/7AF9-D5F3-1235,0.00184
sharedservice,Balanced PD Capacity,gibibyte month,0.1,CPU,,skus/6AE1-525F-8B80,0.1
asia-southeast1,Balanced PD Capacity in Singapore,gibibyte month,0.11,CPU,,skus/16D2-FC49-A127,0.11
asia-southeast1,C2D AMD Instance Core running in Singapore,hour,0.036471,CPU,,skus/A8BB-FA67-F9D8,0.036471
asia-southeast1,C2D AMD Instance Ram running in Singapore,gibibyte hour,0.004884,CPU,,skus/6E53-DF71-F575,0.004884
sharedservice,Licensing Fee for Ubuntu 22.04 LTS (Jammy Jellyfish),hour,0.0,Application,,not found,-1
asia-east1,N2 Instance Core running in APAC,hour,0.036602,CPU,,skus/1B8C-264F-447E,0.036602
asia-east1,N2 Instance Ram running in APAC,gibibyte hour,0.004906,CPU,,skus/2297-D3C7-1085,0.004906
sharedservice,Network VPN Intra Region Data Transfer,gibibyte,0.0,Network,,not found,-1
sharedservice,Network VPN Intra Region Data Transfer In,gibibyte,0.0,Network,,not found,-1
us-central1,Nvidia Tesla A100 80GB GPU attached to Spot Preemptible VMs running in Americas,hour,1.5712,CPU,,skus/DD90-547C-2AAA,0.5712
asia-southeast1,Nvidia Tesla A100 80GB GPU attached to Spot Preemptible VMs running in Singapore,hour,1.9384,CPU,,skus/36BB-6DC9-2245,0.9384
us-central1,Nvidia H100 80GB GPU attached to Spot Preemptible VMs running in Americas,hour,5.3881,CPU,5.3881 USD per 1 hour,skus/7A6D-F74C-B0A3,0.9186
